Key,English
TraderMechanic_b,The Mechanic
BVbillboard,Bdub's Vehicles Billboard

vehicleBoxTruckbody,Box Truck Body
vehicleBoxTruckbodyDesc,Parts needed to craft the Box Truck.
vehicleBoxTruckchassis,Box Truck Chassis
vehicleBoxTruckchassisDesc,Parts needed to craft the Box Truck.
vehicleBoxTruckPlain,Box Truck
vehicleBoxTruckPlainplaceable,Box Truck
vehicleBoxTruckPlainplaceableDesc,An old Box Truck.
vehicleBoxTruckHostess,Hostess Box Truck
vehicleBoxTruckHostessplaceable,Hostess Box Truck
vehicleBoxTruckHostessplaceableDesc,Tallahassee's favorite!

vehicleGNXchassis,GNX Chassis
vehicleGNXchassisDesc,Parts needed to craft the GNX. Grease Monkey level 4 required.
vehicleGNXaccessories,GNX Body
vehicleGNXaccessoriesDesc,Parts needed to craft the GNX.
vehicleGNXBlack,GNX
vehicleGNXBlackplaceable,GNX Black
vehicleGNXBlackplaceableDesc,Cruise the wasteland in style!
vehicleGNXRed,GNX
vehicleGNXRedplaceable,GNX Red
vehicleGNXRedplaceableDesc,Cruise the wasteland in style!

vehicleGolfCart,Golf Cart
vehicleGolfCartchassis,Golf Cart Chassis
vehicleGolfCartchassisDesc,Parts needed to craft the Golf Cart. Grease Monkey level 2 required.
vehicleGolfCartaccessories,Golf Cart Accessories
vehicleGolfCartaccessoriesDesc,Parts needed to craft the Golf Cart. Grease Monkey level 2 required.
vehicleGolfCartplaceable,Golf Cart
vehicleGolfCartplaceableDesc,It might not be much but it's better than walking!
meleeGolfClub,Golf Club
meleeGolfClubDesc,No golf balls? There's always plenty of zombies to practice that swing on!

vehicleWillyJeep,Willy Jeep
vehicleWillyJeepplaceable,Willy Jeep
vehicleWillyJeepplaceableDesc,If it survived WW2 surely it can handle this!
vehicleWillyJeepTopless,Willy Jeep (Topless)
vehicleWillyJeepToplessplaceable,Willy Jeep (Topless)
vehicleWillyJeepToplessplaceableDesc,Now with even more wind-in-hair action!

vehicleWillyJeepBlack,Willy Jeep
vehicleWillyJeepBlackplaceable,Willy Jeep
vehicleWillyJeepBlackplaceableDesc,If it survived WW2 surely it can handle this!
vehicleWillyJeepToplessBlack,Willy Jeep (Topless)
vehicleWillyJeepToplessBlackplaceable,Willy Jeep (Topless)
vehicleWillyJeepToplessBlackplaceableDesc,Now with even more wind-in-hair action!

vehicleWillyJeepBlue,Willy Jeep
vehicleWillyJeepBlueplaceable,Willy Jeep
vehicleWillyJeepBlueplaceableDesc,If it survived WW2 surely it can handle this!
vehicleWillyJeepToplessBlue,Willy Jeep (Topless)
vehicleWillyJeepToplessBlueplaceable,Willy Jeep (Topless)
vehicleWillyJeepToplessBlueplaceableDesc,Now with even more wind-in-hair action!

vehicleWillyJeepGreen,Willy Jeep
vehicleWillyJeepGreenplaceable,Willy Jeep
vehicleWillyJeepGreenplaceableDesc,If it survived WW2 surely it can handle this!
vehicleWillyJeepToplessGreen,Willy Jeep (Topless)
vehicleWillyJeepToplessGreenplaceable,Willy Jeep (Topless)
vehicleWillyJeepToplessGreenplaceableDesc,Now with even more wind-in-hair action!

vehicleWillyJeepOrange,Willy Jeep
