Key,File,Type,UsedInMainMenu,NoTranslate,english


resourceHotCoalsLL,Items,Resource,,,"Hot Coals"
resourceHotCoalsLLDesc,Items,Resource,,,"crafted in the campfire"

resourceMoonRocksLL,Items,Resource,,,"Moon Rocks"
resourceMoonRocksLLDesc,Items,Resource,,,"From the temp of those hot coals made this stronger material known as moon rocks use this to craft tiered weapons and tools stronger then stone"
resourcemoonmixLL,Items,Resource,,,"Moon Rock Mortar"
resourcemoonmixLLDesc,Items,Resource,,,"This strong resource is made in the mixer to upgrade to moonrock blocks"
moonrockshovelLL,Items,melee,,,"Moon Rock Shovel"
moonrockshovelLLDesc,Items,melee,,,"Shovel crafted from moonrocks and is lightweight for you to harvest more without getting tired!"
moonrockaxeLL,Items,melee,,,"Moon Rock Axe"
moonrockaxeLLDesc,Items,melee,,,"Axe crafted from moonrocks and is lightweight for you to harvest more without getting tired!"
moonrockspearLL,Items,melee,,,"Moon Rock Spear"
moonrockspearLLDesc,Items,melee,,,"A spear crafted from moon rocks and is slightly better then the stone spear"
moonrocksledgeLL,Items,melee,,,"Moon Rock SledgeHammer"
moonrocksledgeLLDesc,Items,melee,,,"A sledge crafted from moon rocks and early in your life this will be a lifesaver against the zombie jerks!"

resourceForgedBrassLL,Items,Resource,,,"Forged Brass"
resourceForgedBrassLLDesc,Items,Resource,,,"Brass smelted into bars and used to make weapons and tools stronger then forged iron"
brassshovelLL,Items,melee,,,"Brass Shovel"
brassshovelLLDesc,Items,melee,,,"A shovel crafted from forged brass"
brassaxeLL,Items,melee,,,"Brass Axe"
brassaxeLLDesc,Items,melee,,,"A axe crafted from forged brass"
brasspickaxeLL,Items,melee,,,"Brass PickAxe"
brasspickaxeLLDesc,Items,melee,,,"A pickaxe crafted from forged brass"
brasssledgeLL,Items,melee,,,"Brass Sledgehammer"
brasssledgeLLDesc,Items,melee,,,"A gigantic hammer crafted from forged brass"
brassknifeLL,Items,melee,,,"Brass Pocketknife"
brassknifeLLDesc,Items,melee,,,"A sharp blade crafted from forged brass"
brassclubLL,Items,melee,,,"Brass Club"
brassclubLLDesc,Items,melee,,,"A sturdy club crafted from forged brass"
brassknucksLL,Items,melee,,,"Brass Knuckles"
brassknucksLLDesc,Items,melee,,,"Everyone loves a set of deadly brass knucks now its time to go punch some undead pricks"
brassspearLL,Items,melee,,,"Brass Long Spear"
brassspearLLDesc,Items,melee,,,"Crafted from forged brass and super sharp"

resourcebrassRepairKitLL,Items,Resource,,,"Brass Repair Kit"
resourcebrassRepairKitLLDesc,Items,Resource,,,"use this repair kit to repair brass weapons and tools"
resourcevibeRepairKitLL,Items,Resource,,,"Vibranium Repair Kit"
resourcevibeRepairKitLLDesc,Items,Resource,,,"use this repair kit to repair vibranium weapons and tools"
resourceIMPRepairKitLL,Items,Resource,,,"Improved Weapon Repair Kit"
resourceIMPRepairKitLLDesc,Items,Resource,,,"use this repair kit to repair improved weapons"

resourceforgedvibeLL,Items,Resource,,,"Forged Vibranium"
resourceforgedvibeLLDesc,Items,Resource,,,"The strongest metal on the planet! search and craft at the workbench with other forged items"
vibeaugerLL,Items,melee,,,"Vibranium Auger"
