Key,File,Type,UsedInMainMenu,NoTranslate,english

01EndZ_stonecave_01_arramus,POI,POIName,,,"END Z Toy Store"
1EndZ_BookFair,POI,POIName,,,"EndZ Book Fair"
2EndZ_Headquarters,POI,POIName,,,"EndZ Headquarters"
3EndZ_Headquarters,POI,POIName,,,"EndZ OutPost 1"

EndZallinoneglassesLL,items,Clothes,,,"EndZ Glasses"
EndZallinoneglassesLLDesc,items,Clothes,,,"These glasses add 1 point to the skill trees like other glasses. Has some hidden benefits as well! Credits to the DrunkPenguin."
statShowattendztree,ui_display,Item stat,,,EndZ

startershovelLL,Items,melee,,,"[787777]Starter Shovel"
startershovelLLDesc,Items,melee,,,"cant be crafted, but can be repaired with stone."
starteraxeLL,Items,melee,,,"[787777]Starter Axe"
starteraxeLLDesc,Items,melee,,,"cant be crafted, but can be repaired with stone."

resourceHotCoalsLL,Items,Resource,,,"[f20202]Hot Coals"
resourceHotCoalsLLDesc,Items,Resource,,,"crafted in the campfire"

resourceMoonRocksLL,Items,Resource,,,"[05f5ee]Moon Rock"
resourceMoonRocksLLDesc,Items,Resource,,,"From the temp of those hot coals made this stronger material known as moon rocks use this to craft tiered weapons and tools stronger then stone"
resourcemoonmixLL,Items,Resource,,,"[05f5ee]Moon Rock Mortar"
resourcemoonmixLLDesc,Items,Resource,,,"This strong resource is made in the mixer to upgrade to moonrock blocks"
moonrockshovelLL,Items,melee,,,"[05f5ee]Moon Rock Shovel"
moonrockshovelLLDesc,Items,melee,,,"Shovel crafted from moonrocks and is lightweight for you to harvest more without getting tired, repair with moonrocks!"
moonrockaxeLL,Items,melee,,,"[05f5ee]Moon Rock Axe"
moonrockaxeLLDesc,Items,melee,,,"Axe crafted from moonrocks and is lightweight for you to harvest more without getting tired, repair with moonrocks!"
moonrockbatonLL,Items,melee,,,"[05f5ee]Moon Rock Baton"
moonrockbatonLLDesc,Items,melee,,,"Should be a happy Duckie, repair with moonrocks!"
moonrockspearLL,Items,melee,,,"[05f5ee]Moon Rock Spear"
moonrockspearLLDesc,Items,melee,,,"A spear crafted from moon rocks and is slightly better then the stone spear, repair with moonrocks"
moonrocksledgeLL,Items,melee,,,"[05f5ee]Moon Rock SledgeHammer"
